,Username,Channel Name,Country,Url,Main topic,Main video category,Likes,Likes Avg.,Posts,Followers,Boost Index,Comments Avg.,Views Avg.,Avg. 14 Day,Avg. 30 Day,Engagement Rate,Engagement Rate (60 Days)
0,cristiano,cristiano,ES,https://www.instagram.com/cristiano,Sports,Sports,22876451727.0,8671952.688,3328,465027234,92,51758.33093,17009493.6,5327340.25,6948658.867,0.014915592,0.015903093
8,khloekardashian,khloekardashian,US,https://www.instagram.com/khloekardashian,Sports,Sports,6914667303.0,2391194.0,4092,260359924,89,10442.21154,7593868.457,451506.57315,1686724.154,0.006556504,0.003111744
11,natgeo,natgeo,US,https://www.instagram.com/natgeo,Education,Education,2521782123.0,304664.0,10002,232020700,91,1225.234286,2345345.444,138451.3774,158992.7103,0.001091963,0.0007262
12,nike,nike,US,https://www.instagram.com/nike,Sports,Sports,298611326.8,333382.0,932,228524022,90,5520.935484,2638441.274,273080.0,236986.6667,0.001431226,0.000755184
14,jlo,jlo,US,https://www.instagram.com/jlo,Music,Music,4015633611.0,1691841.5,3151,217547805,89,11942.84,6363148.91,688847.0,812984.6,0.005914066,0.005410155
15,virat.kohli,virat.kohli,US,https://www.instagram.com/virat.kohli,Education,Education,3592490225.0,3472381.5,1390,206743723,87,18090.06726,4841319.094,2874632.0,2210917.5,0.012603389,0.011349235
16,nickiminaj,nickiminaj,US,https://www.instagram.com/nickiminaj,Trailers,Trailers,10280946999.0,2161401.25,6327,197697257,90,19624.63445,6688655.285,451506.57315,2210917.5,0.00832535,0.006336257
19,neymarjr,neymarjr,BR,https://www.instagram.com/neymarjr,Gaming,Gaming,11825612530.0,2705534.486,5247,176162107,90,47.64193548,6758889.172,1888862.833,2151442.857,0.012795894,0.012232248
20,katyperry,katyperry,BR,https://www.instagram.com/katyperry,Nonprofits & Activism,Nonprofits & Activism,1207583442.0,720700.2619,2028,167005817,92,4824.746385,2224739.083,364755.0,325682.2857,0.003596238,0.002112333
21,kevinhart4real,kevinhart4real,US,https://www.instagram.com/kevinhart4real,Sports,Sports,3440231765.0,533486.9167,8126,148755284,88,3749.928125,2553278.824,155624.8,128413.7143,0.002873186,0.00104659
25,badgalriri,badgalriri,US,https://www.instagram.com/badgalriri,Entertainment,Entertainment,13027355720.0,3691546.0,4837,133436105,88,20974.19024,8827574.284,451506.57315,355926.2222,0.020384431,0.029145249
27,theellenshow,theellenshow,US,https://www.instagram.com/theellenshow,Pets & Animals,Pets & Animals,3221788813.0,424885.5222,9987,123619409,87,3787.956893,3577368.09,84741.0,79112.8,0.0026418,0.000862307
28,realmadrid,realmadrid,ES,https://www.instagram.com/realmadrid,Sports,Sports,5446654787.0,1009067.541,6593,121711711,90,3553.235076,3058169.529,660730.3396,801848.313,0.006818829,0.007847947
31,fcbarcelona,fcbarcelona,US,https://www.instagram.com/fcbarcelona,Sports,Sports,9631251593.0,1176560.049,9988,109950457,90,4342.094241,4286283.064,740394.1429,732259.88,0.008816628,0.006355039
33,dualipa,dualipa,GB,https://www.instagram.com/dualipa,Music,Music,1924649935.0,2091782.107,1224,85085187,74,4827.426546,2892223.343,939716.1176,1173231.235,0.018537648,0.016525307
34,gal_gadot,gal_gadot,US,https://www.instagram.com/gal_gadot,Entertainment,Entertainment,1676682095.0,1377079.5,1676,83763785,85,4787.181416,3104604.989,470165.3333,580991.4545,0.012006866,0.008213454
35,vindiesel,vindiesel,US,https://www.instagram.com/vindiesel,Film & Animation,Film & Animation,1866453678.0,1384972.667,1817,81632030,88,7997.02139,3097254.175,384524.0,364442.0,0.012693786,0.007228623
36,priyankachopra,priyankachopra,US,https://www.instagram.com/priyankachopra,Autos & Vehicles,Autos & Vehicles,4188562034.0,1580291.629,3545,80262430,85,4660.018248,3910075.544,2518390.0,1604862.857,0.014783911,0.022965684
38,nasa,nasa,US,https://www.instagram.com/nasa,Science & Technology,Science & Technology,3464512773.0,1172499.9,3522,78572117,88,3965.166884,2742669.772,654025.6667,715564.7826,0.012579605,0.010578574
41,snoopdogg,snoopdogg,US,https://www.instagram.com/snoopdogg,Movies,Movies,1755836108.0,205719.2237,9995,74552708,86,2673.899294,1259594.406,138903.9464,134955.6612,0.002393954,0.001648726
45,k.mbappe,k.mbappe,US,https://www.instagram.com/k.mbappe,Sports,Sports,2369430073.0,2454367.867,1149,72335779,86,10607.11652,6006698.25,1462670.333,1754809.125,0.028674938,0.033775773
46,nehakakkar,nehakakkar,IN,https://www.instagram.com/nehakakkar,Music,Music,2681817707.0,1530347.0,2298,70376999,84,7334.274016,4497085.661,329835.5,711477.75,0.016692846,0.008883426
48,nba,nba,US,https://www.instagram.com/nba,Sports,Sports,3706978458.0,374008.6914,12610,68938585,87,1014.688845,1863379.104,202891.8657,223104.6272,0.004284871,0.003080069
49,narendramodi,narendramodi,IN,https://www.instagram.com/narendramodi,Pets & Animals,Pets & Animals,1190976040.0,2953851.5,537,68330604,85,24367.3431,5185283.813,1230562.0,1830545.6,0.032833921,0.023287971
53,aliaabhatt,aliaabhatt,IN,https://www.instagram.com/aliaabhatt,Entertainment,Entertainment,2402387530.0,1759431.125,1820,67428908,82,6892.528109,3586775.894,3554326.0,2127322.75,0.019699079,0.041350825
54,ronaldinho,ronaldinho,BR,https://www.instagram.com/ronaldinho,Sports,Sports,1989157882.0,891414.0833,2921,67398061,78,4286.83906,2453751.84,261123.8571,347323.8824,0.010176239,0.005792973
57,katrinakaif,katrinakaif,IN,https://www.instagram.com/katrinakaif,Entertainment,Entertainment,1399937431.0,1674335.25,997,65597009,85,8971.833741,4732693.98,539443.0,539443.0,0.021554421,0.037465819
59,marvel,marvel,TR,https://www.instagram.com/marvel,Movies,Trailers,2118435812.0,328737.6,6907,65358436,82,1066.221972,960153.792,193248.3529,260000.9091,0.004710065,0.00501996
62,raffinagita1717,raffinagita1717,ID,https://www.instagram.com/raffinagita1717,Entertainment,Entertainment,2782184603.0,387143.9677,9946,62899363,83,3716.759682,1322062.762,456141.1463,434216.0972,0.004511026,0.007298127
65,akshaykumar,akshaykumar,CO,https://www.instagram.com/akshaykumar,Entertainment,Entertainment,2200303385.0,1516770.0,1860,62614053,85,7210.882569,4092468.354,391342.6667,572411.625,0.019009017,0.013576863
66,jacquelinef143,jacquelinef143,IN,https://www.instagram.com/jacquelinef143,Entertainment,Entertainment,2088469652.0,1143262.333,2433,62118961,85,4780.738944,2415085.358,803217.0,648666.5556,0.013906764,0.009729521
67,sooyaaa__,sooyaaa__,IN,https://www.instagram.com/sooyaaa__,Film & Animation,Film & Animation,3036363132.0,4493906.633,824,62062471,82,35145.84691,3985933.902,6468019.0,6001684.833,0.060021308,0.092480746
68,psg,psg,FR,https://www.instagram.com/psg,Sports,Sports,4595183470.0,508990.4478,9761,61178714,86,1457.067602,2135978.162,371440.6531,359066.9355,0.007728083,0.008321352
69,roses_are_rosie,roses_are_rosie,FR,https://www.instagram.com/roses_are_rosie,Sports,Sports,2986099761.0,4586884.938,816,60940323,82,31561.8637,4699873.51,451506.57315,5593980.833,0.060629953,0.086414715
70,anushkasharma,anushkasharma,FR,https://www.instagram.com/anushkasharma,Education,Education,1632552354.0,1925204.75,1159,59276468,85,5906.839895,3641625.475,615775.5,1184805.429,0.023876628,0.019773257
71,manchesterunited,manchesterunited,GB,https://www.instagram.com/manchesterunited,Sports,Sports,3168867342.0,384605.4114,9900,58974258,85,1878.230116,1809835.169,240808.5357,235152.1338,0.005463892,0.005057186
73,9gag,9gag,US,https://www.instagram.com/9gag,Pets & Animals,Pets & Animals,5062668340.0,678711.3186,10021,58181054,86,5559.041481,3613240.066,258582.8,268979.2949,0.008778909,0.004668308
